run_name,false_positive_rate,false_negative_rate,num_rollouts,final_validation_accuracy,final_train_accuracy,best_validation_accuracy,best_train_accuracy
grpo0.5B-gsm8k-b32-r64-p0.4,0.4,0.4,64,0.46484375,0.59814453125,0.515625,0.6357421875
grpo1.5B-gsm8k-b32-r8-fp04-fn05,0.4,0.5,8,0.16796875,0.57421875,0.18359375,0.62890625
grpo1.5B-gsm8k-b32-r16-fp04-fn05,0.4,0.5,16,0.25390625,0.41015625,0.37109375,0.5234375
grpo1.5B-gsm8k-b32-r32-fp04-fn05,0.4,0.5,32,0.55078125,0.4833984375,0.55078125,0.51171875
grpo1.5B-gsm8k-b32-r8-fp05-fn00,0.5,0,8,0.69921875,0.92578125,0.69921875,0.95703125
grpo1.5B-gsm8k-b32-r16-fp05-fn00,0.5,0,16,0.66015625,0.89453125,0.734375,0.953125
grpo1.5B-gsm8k-b32-r32-fp05-fn00,0.5,0,32,0.73046875,0.939453125,0.74609375,0.9599609375
grpo1.5B-gsm8k-b32-r8-fp05-fn01,0.5,0.1,8,0.5859375,0.78125,0.68359375,0.90234375
grpo1.5B-gsm8k-b32-r16-fp05-fn01,0.5,0.1,16,0.671875,0.802734375,0.7265625,0.904296875
grpo1.5B-gsm8k-b32-r32-fp05-fn01,0.5,0.1,32,0.65625,0.7880859375,0.75390625,0.8798828125
grpo1.5B-gsm8k-b32-r8-fp05-fn02,0.5,0.2,8,0.625,0.5703125,0.66015625,0.8828125
grpo1.5B-gsm8k-b32-r16-fp05-fn02,0.5,0.2,16,0.59765625,0.671875,0.69140625,0.833984375
grpo1.5B-gsm8k-b32-r32-fp05-fn02,0.5,0.2,32,0.6796875,0.7265625,0.69140625,0.8125
grpo1.5B-gsm8k-b32-r8-fp05-fn03,0.5,0.3,8,0.5546875,0.59375,0.61328125,0.75390625
grpo1.5B-gsm8k-b32-r16-fp05-fn03,0.5,0.3,16,0.515625,0.642578125,0.6328125,0.744140625
grpo1.5B-gsm8k-b32-r32-fp05-fn03,0.5,0.3,32,0.5703125,0.619140625,0.6328125,0.724609375
grpo1.5B-gsm8k-b32-r8-fp05-fn04,0.5,0.4,8,0.23046875,0.56640625,0.49609375,0.671875
grpo1.5B-gsm8k-b32-r16-fp05-fn04,0.5,0.4,16,0.4375,0.56640625,0.515625,0.625
grpo1.5B-gsm8k-b32-r32-fp05-fn04,0.5,0.4,32,0.5625,0.5576171875,0.56640625,0.630859375
grpo1.5B-gsm8k-b32-r8-fp05-fn05,0.5,0.5,8,0.00390625,0.5859375,0.07421875,0.75
grpo1.5B-gsm8k-b32-r16-fp05-fn05,0.5,0.5,16,0.05078125,0.529296875,0.3828125,0.654296875
grpo1.5B-gsm8k-b32-r32-fp05-fn05,0.5,0.5,32,0.01171875,0.4921875,0.08203125,0.640625
